county_id,county_pop,county_weighted_dist
01001,54509,11.88450958408703
01003,206023,15.065360550788016
01005,25469,23.37961151753112
01007,22112,40.86862811676917
01009,57144,23.713991972175556
01011,10333,53.52882483789799
01013,19869,16.524628564900095
01015,113469,14.145632264318886
01017,33558,33.84689797014125
01019,25572,35.867407543719686
01021,43484,17.285534282747676
01023,12958,54.95214384264548
01025,24214,21.93178228933675
01027,13272,36.08804431283906
01029,14868,32.76274642002959
01031,50870,10.947671251896992
01033,53979,9.755973240778822
01035,12373,34.93901105043239
01037,10774,21.1260872731576
01039,36946,13.726680860526175
01041,13749,19.80727538097316
01043,81759,17.07054632058856
01045,48567,11.11165088864867
01047,39276,61.35322747117833
01049,70262,19.91794524141072
01051,80312,20.017563596274528
01053,36865,28.616569559772138
01055,101901,10.720339992374953
01057,16372,16.982266260444664
01059,31225,32.640565476349074
01061,26204,16.415491784803848
01063,8319,43.256231889890614
01065,14716,39.63149148566186
01067,16990,30.239460758446146
01069,103111,9.12510172763333
01071,51318,25.685646953310723
01073,651278,10.33510779283501
01075,13816,38.251331316951365
01077,91668,15.30136076887245
01079,32847,29.052791321886325
01081,157620,12.517653256211139
01083,92111,12.338516007914365
01085,10137,34.469118387294074
01087,18898,28.690561997036728
01089,353676,12.022648868851716
01091,19354,30.20144492947195
01093,29747,36.56476311278448
01095,93916,13.792378354859665
01097,409327,12.737191197030734
01099,21174,19.836301314583924
01101,224483,6.94933408200621
01103,117789,13.856880657234544
01105,9486,55.44950212312883
01107,20071,42.76388889851029
01109,32831,11.578998470744112
01111,22335,54.02457318764271
01113,57465,14.963222343878883
01115,86480,32.34046711609621
01117,208700,12.156208607930042
01119,12903,43.05880532085562
01121,79751,12.333773926533835
01123,40151,17.4010859904112
01125,203806,12.804669613897529
01127,63791,16.791184120236398
01129,16538,36.7086542060104
01131,10685,59.915090229106234
01133,23704,23.385554805728994
04001,70666,104.32840968209605
04003,124759,49.21137376521934
04005,138907,51.520911571079935
04007,52960,116.06444286540787
04009,37426,209.45957583546198
04011,9300,192.8048741380645
04012,20497,159.46778527901645
04013,4203415,8.384232635956717
04015,204536,173.8127120052118
04017,107122,84.22278899747951
04019,1007876,13.936645036709875
04021,414701,40.215946746398004
04023,45851,105.38732597897535
04025,223104,115.16639359363793
04027,204595,15.699338141811873
05001,17936,24.928820229984392
05003,20306,14.474780563675761
05005,40835,12.76655058001714
05007,255356,18.23054734950422
05009,36742,57.56393618727887
05011,10835,40.70749345371481
05013,5175,30.273042010434782
05015,27639,64.11004801910344
05017,10693,23.795733818292344
05019,22126,14.868066366265932
05021,14902,51.28468252093679
05023,24988,19.387632335641108
05025,8181,39.17982067632319
05027,23582,40.770581436646594
05029,20674,37.60165023401374
05031,104527,10.652991081940552
05033,61735,26.203765393472096
05035,48206,25.271275772186033
05037,16730,32.08490739055589
05039,7351,17.450588157393554
05041,11731,52.156180945017475
05043,18220,8.573304798408342
05045,121124,13.047698313554706
05047,17456,16.157322984818975
05049,11995,19.66073738857857
05051,97315,13.691078664645739
05053,17905,39.0138398516057
05055,44070,37.26211224837758
05057,21662,57.25850137429601
05059,33068,13.915262864037741
05061,13271,75.55521789601387
05063,36949,14.31995571509378
05065,13407,33.82377136473484
05067,17105,52.60005268535516
05069,69713,59.06713460628577
05071,25978,13.002824139464163
05073,6884,49.645736042417205
05075,16537,36.089178027272176
05077,9256,36.08139702808988
05079,13584,52.87292615164899
05081,12297,38.094496424249826
05083,21485,10.925189067535491
05085,71243,35.721891862582986
05087,15847,49.7517167420963
05089,16252,42.74278084961851
05091,43174,13.659589111316997
05093,42145,77.00873740923005
05095,7160,44.84306000642457
05097,8915,66.63035973258552
05099,8371,47.30808384494087
05101,7843,74.59764952110163
05103,23842,13.240213500922742
05105,10127,41.02438986837168
05107,18735,57.11595753797705
05109,10680,58.566165431647946
05111,23699,36.818050320984014
05113,20026,74.64215013147907
05115,62816,14.132039149118059
05117,8149,39.58918443489999
05119,388491,11.198425699213109
05121,17387,15.951161628285503
05123,26038,11.331948560450112
05125,116626,27.922902009003135
05127,10243,8.83920892111686
05129,7839,52.09351589399158
05131,125540,12.256378594224948
05133,16948,77.38052423873025
05135,16962,22.66122405535904
05137,12353,55.18461912142799
05139,39252,13.02014924829308
05141,16553,22.57607439491331
05143,224867,13.204970882921904
05145,77758,47.67553323949947
05147,6607,64.52831725715151
05149,21300,32.43501055605633
06001,1625557,5.771404470623916
06003,1138,113.8887
06005,37524,21.065033140629996
06007,225108,21.357081710516727
06009,44944,40.778822653435384
06011,21242,57.78086779008567
06013,1121917,9.428117198191131
06015,26994,131.02134153956433
06017,185014,28.74923921432432
06019,964182,15.731842925142766
06021,27501,40.30214615708519
06023,134312,217.91995367130264
06025,177168,97.73271475238192
06027,17885,310.3022732328208
06029,870602,26.36300426775151
06031,148252,18.982563488951243
06033,63551,37.102918513949426
06035,30813,133.18313472466167
06037,9982227,4.945791401636929
06039,152969,41.52009194380561
06041,257923,8.1168544329199
06043,17400,75.17694757977011
06045,86449,45.69095068642784
06047,265686,13.713940866202963
06049,8874,232.60714266892046
06051,13998,261.4694213339048
06053,427668,18.549044115998864
06055,139378,9.939385365100662
06057,98141,21.628303520475644
06059,3128984,6.019806332028224
06061,376627,12.760842485716637
06063,18619,114.3617385573876
06065,2354433,10.97316993688162
06067,1491493,7.54781506602981
06069,58449,7.295807593200911
06071,2107534,12.688038972032242
06073,3261095,8.847713145082864
06075,860841,2.946012570410796
06077,722181,6.515406275561112
06079,279210,18.27696573473371
06081,758153,6.125371206923932
